exam_category,exam_type,quiz_id,en_quiz_title,most_vote,correct,en_A,en_B,en_C,en_D,en_E,en_F,ko_quiz_title,ko_A,ko_B,ko_C,ko_D,ko_E,subject,choice_count,ko_F
udemy,CLF-01,310,An organization would like to copy data across different Availability Zones (AZs) using Amazon EBS snapshots. Where are Amazon EBS snapshots stored in the AWS Cloud?,A,A,Amazon Simple Storage Service (Amazon S3),Amazon Elastic File System (Amazon EFS),Amazon Relational Database Service (Amazon RDS),Amazon Elastic Compute Cloud (Amazon EC2),,,조직에서 Amazon EBS 스냅샷을 사용하여 여러 가용 영역(AZ) 간에 데이터를 복사하려고 합니다. Amazon EBS 스냅샷은 AWS 클라우드에서 어디에 저장됩니까?,Amazon Simple Storage Service(Amazon S3),Amazon 탄력적 파일 시스템(Amazon EFS),Amazon 관계형 데이터베이스 서비스(Amazon RDS),아마존 엘라스틱 컴퓨트 클라우드(아마존 EC2),,0,,
udemy,CLF-01,311,"A corporation would like to simplify access management to multiple AWS accounts as well as facilitate AWS Single Sign-On (AWS SSO) access to its AWS accounts. As a Cloud Practitioner, which AWS service would you use for this task?",D,D,AWS Command Line Interface (CLI),AWS Identity and Access Management (AWS IAM),AWS Cognito,AWS IAM Identity Center,,,기업은 여러 AWS 계정에 대한 액세스 관리를 단순화하고 AWS 계정에 대한 AWS Single Sign-On(AWS SSO) 액세스를 용이하게 하고자 합니다. 클라우드 실무자로서 이 작업에 어떤 AWS 서비스를 사용하시겠습니까?,AWS 명령줄 인터페이스(CLI),AWS 자격 증명 및 액세스 관리(AWS IAM),AWS 코그니토,AWS IAM 자격 증명 센터,,0,,
udemy,CLF-01,312,A production company would like to establish an AWS managed virtual private network (VPN) service between its on-premises network and AWS. Which item needs to be set up on the company's side?,A,A,A customer gateway,A VPC endpoint interface,A virtual private gateway (VGW),A security group,,,프로덕션 회사는 온프레미스 네트워크와 AWS 간에 AWS 관리 가상 사설망(VPN) 서비스를 설정하려고 합니다. 회사 측에서 어떤 항목을 설정해야 합니까?,고객 게이트웨이,VPC 엔드포인트 인터페이스,가상 프라이빗 게이트웨이(VGW),보안 그룹,,0,,
udemy,CLF-01,313,A Cloud Practitioner would like to get operational insights of its resources to quickly identify any issues that might impact applications using those resources. Which AWS service can help with this task?,D,D,Amazon Inspector,AWS Health Dashboard - Your Account Health,AWS Trusted Advisor,AWS Systems Manager,,,클라우드 실무자는 해당 리소스를 사용하는 애플리케이션에 영향을 미칠 수 있는 문제를 신속하게 식별하기 위해 해당 리소스에 대한 운영 통찰력을 얻고자 합니다. 이 작업에 도움이 되는 AWS 서비스는 무엇입니까?,아마존 인스펙터,AWS 상태 대시보드 - 계정 상태,AWS 신뢰할 수 있는 조언자,AWS 시스템 관리자,,0,,
udemy,CLF-01,314,An engineering team is new to the AWS Cloud and it would like to launch a dev/test environment with low monthly pricing. Which AWS service can address this use case?,B,B,Amazon Elastic Compute Cloud (Amazon EC2),Amazon LightSail,AWS CloudFormation,Amazon Elastic Container Service (Amazon ECS),,,AWS 클라우드를 처음 접하는 엔지니어링 팀이 저렴한 월별 요금으로 개발/테스트 환경을 시작하려고 합니다. 이 사용 사례를 해결할 수 있는 AWS 서비스는 무엇입니까?,아마존 엘라스틱 컴퓨트 클라우드(아마존 EC2),아마존 라이트세일,AWS 클라우드포메이션,Amazon Elastic Container Service(Amazon ECS),,0,,
udemy,CLF-01,315,Which security control tool can be used to deny traffic from a specific IP address?,D,D,Amazon GuardDuty,VPC Flow Logs,Security Group,Network Access Control List (network ACL),,,특정 IP 주소의 트래픽을 거부하는 데 사용할 수 있는 보안 제어 도구는 무엇입니까?,Amazon GuardDuty,VPC 흐름 로그,보안 그룹,네트워크 액세스 제어 목록(네트워크 ACL),,0,,
udemy,CLF-01,316,A multinational company has just moved its infrastructure to AWS Cloud and has employees traveling to different offices around the world. How should the company set the AWS accounts?,C,C,Create an IAM user for each user in each AWS region,Create global permissions so users can access resources from all around the world,"There is nothing to do, AWS Identity and Access Management (AWS IAM) is a global service","As employees travel, they can use other employees' accounts",,,한 다국적 기업이 방금 인프라를 AWS 클라우드로 이전했으며 직원들이 전 세계 여러 사무실로 출장을 갑니다. 회사는 AWS 계정을 어떻게 설정해야 합니까?,각 AWS 리전의 각 사용자에 대한 IAM 사용자 생성,사용자가 전 세계의 리소스에 액세스할 수 있도록 전역 권한 생성,할 일이 없습니다. AWS Identity and Access Management(AWS IAM)는 글로벌 서비스입니다.,직원이 출장 중일 때 다른 직원의 계정을 사용할 수 있습니다.,,0,,
udemy,CLF-01,317,"Which AWS tool can provide best practice recommendations for performance, service limits, and cost optimization?",D,D,AWS Health Dashboard - Service health,Amazon Inspector,Amazon CloudWatch,AWS Trusted Advisor,,,"성능, 서비스 제한 및 비용 최적화에 대한 모범 사례 권장 사항을 제공할 수 있는 AWS 도구는 무엇입니까?",AWS 상태 대시보드 - 서비스 상태,아마존 인스펙터,아마존 클라우드워치,AWS 신뢰할 수 있는 조언자,,0,,
udemy,CLF-01,318,A company would like to separate cost for AWS services by the department for cost allocation. Which of the following is the simplest way to achieve this task?,D,D,Create different accounts for different departments,Create one account for all departments and share this account,Create different virtual private cloud (VPCs) for different departments,Create tags for each department,,,회사에서 비용 할당을 위해 부서별로 AWS 서비스 비용을 분리하려고 합니다. 다음 중 이 작업을 수행하는 가장 간단한 방법은 무엇입니까?,다른 부서에 대해 다른 계정 만들기,모든 부서에 대해 하나의 계정을 만들고 이 계정을 공유합니다.,부서별로 서로 다른 가상 사설 클라우드(VPC) 생성,부서별 태그 생성,,0,,
udemy,CLF-01,319,"An e-commerce company would like to build a chatbot for its customer service using Natural Language Understanding (NLU). As a Cloud Practitioner, which AWS service would you use?",D,D,Amazon Rekognition,Amazon SageMaker,Amazon Comprehend,Amazon Lex,,,전자 상거래 회사는 자연어 이해(NLU)를 사용하여 고객 서비스용 챗봇을 구축하려고 합니다. 클라우드 실무자로서 어떤 AWS 서비스를 사용하시겠습니까?,아마존 인식,아마존 세이지메이커,아마존 컴프리헨드,아마존 렉스,,0,,
udemy,CLF-01,320,"A start-up would like to quickly deploy a popular technology on AWS. As a Cloud Practitioner, which AWS tool would you use for this task?",B,B,AWS Forums,AWS Partner Solutions (formerly Quick Starts),AWS CodeDeploy,AWS Whitepapers,,,신생 기업은 AWS에서 인기 있는 기술을 신속하게 배포하려고 합니다. 클라우드 실무자로서 이 작업에 어떤 AWS 도구를 사용하시겠습니까?,AWS 포럼,AWS 파트너 솔루션(이전의 Quick Starts),AWS CodeDeploy,AWS 백서,,0,,
udemy,CLF-01,321,A media company wants to enable customized content suggestions for the users of its movie streaming platform. Which AWS service can provide these personalized recommendations based on historic data?,B,B,Amazon Comprehend,Amazon Personalize,Amazon SageMaker,Amazon Customize,,,미디어 회사는 영화 스트리밍 플랫폼 사용자를 위해 맞춤형 콘텐츠 제안을 활성화하려고 합니다. 기록 데이터를 기반으로 이러한 개인화된 권장 사항을 제공할 수 있는 AWS 서비스는 무엇입니까?,아마존 컴프리헨드,아마존 개인화,아마존 세이지메이커,아마존 커스터마이징,,0,,
udemy,CLF-01,322,Which AWS service can be used to subscribe to an RSS feed to be notified of the status of all AWS service interruptions?,B,B,AWS Lambda,AWS Health Dashboard - Service Health,Amazon Simple Notification Service (Amazon SNS),AWS Health Dashboard - Your Account Health,,,모든 AWS 서비스 중단 상태에 대한 알림을 받기 위해 RSS 피드를 구독하는 데 사용할 수 있는 AWS 서비스는 무엇입니까?,AWS 람다,AWS 상태 대시보드 - 서비스 상태,Amazon Simple Notification Service(Amazon SNS),AWS 상태 대시보드 - 계정 상태,,0,,
udemy,CLF-01,323,"A start-up would like to monitor its cost on the AWS Cloud and would like to choose an optimal Savings Plan. As a Cloud Practitioner, which AWS service would you use?",B,B,AWS Budgets,AWS Cost Explorer,AWS Cost & Usage Report (AWS CUR),AWS Pricing Calculator,,,스타트업은 AWS 클라우드에서 비용을 모니터링하고 최적의 절약 계획을 선택하려고 합니다. 클라우드 실무자로서 어떤 AWS 서비스를 사용하시겠습니까?,AWS 예산,AWS 비용 탐색기,AWS 비용 및 사용 보고서(AWS CUR),AWS 요금 계산기,,0,,
udemy,CLF-01,324,"An engineering team would like to cost-effectively run hundreds of thousands of batch computing workloads on AWS. As a Cloud Practitioner, which AWS service would you use for this task?",A,A,AWS Batch,AWS Lambda,AWS Fargate,Amazon Lightsail,,,엔지니어링 팀은 AWS에서 수십만 개의 배치 컴퓨팅 워크로드를 비용 효율적으로 실행하려고 합니다. 클라우드 실무자로서 이 작업에 어떤 AWS 서비스를 사용하시겠습니까?,AWS 배치,AWS 람다,AWS 파게이트,아마존 라이트세일,,0,,
udemy,CLF-01,325,Adding more CPU/RAM to an Amazon Elastic Compute Cloud (Amazon EC2) instance represents which of the following?,A,A,Vertical scaling,Loose coupling,Managing increasing volumes of data,Horizontal scaling,,,Amazon Elastic Compute Cloud(Amazon EC2) 인스턴스에 더 많은 CPU/RAM을 추가하는 것은 다음 중 무엇을 나타냅니까?,수직 스케일링,느슨한 결합,증가하는 데이터 볼륨 관리,수평적 확장,,0,,
udemy,CLF-01,326,Which AWS service is used to store and commit code privately and also offer features for version control?,D,D,AWS CodeStar,AWS CodePipeline,AWS CodeBuild,AWS CodeCommit,,,코드를 비공개로 저장 및 커밋하고 버전 제어 기능도 제공하는 데 사용되는 AWS 서비스는 무엇입니까?,AWS 코드스타,AWS CodePipeline,AWS 코드빌드,AWS CodeCommit,,0,,
udemy,CLF-01,327,A company is looking at real-time processing of streaming big data for their ad-tech platform. Which of the following AWS services is the right choice for this requirement?,A,A,Amazon Kinesis Data Streams,Amazon EMR,Amazon Simple Queue Service (Amazon SQS),Amazon Redshift,,,한 회사에서 광고 기술 플랫폼을 위한 스트리밍 빅 데이터의 실시간 처리를 고려하고 있습니다. 다음 중 이 요구 사항에 적합한 AWS 서비스는 무엇입니까?,Amazon Kinesis 데이터 스트림,아마존 EMR,Amazon 단순 대기열 서비스(Amazon SQS),아마존 레드시프트,,0,,
udemy,CLF-01,328,A company stores all its media files in Amazon Simple Storage Service (Amazon S3) which is accessed by an application hosted on Amazon EC2 instances. The company wants to convert these media files into formats that users can playback on mobile devices.Which AWS service/tool helps you achieve this requirement?,D,D,Amazon Comprehend,Amazon Transcribe,AWS Glue,Amazon Elastic Transcoder,,,회사는 Amazon EC2 인스턴스에서 호스팅되는 애플리케이션에서 액세스하는 Amazon Simple Storage Service(Amazon S3)에 모든 미디어 파일을 저장합니다. 회사는 이러한 미디어 파일을 사용자가 모바일 장치에서 재생할 수 있는 형식으로 변환하려고 합니다.이 요구 사항을 달성하는 데 도움이 되는 AWS 서비스/도구는 무엇입니까?,아마존 컴프리헨드,Amazon Transcribe,AWS 글루,아마존 엘라스틱 트랜스코더,,0,,
udemy,CLF-01,329,"A Security Group has been changed in an AWS account and the manager of the account has asked you to find out the details of the user who changed it. As a Cloud Practitioner, which AWS service will you use to fetch the necessary information?",C,C,Amazon Inspector,AWS Trusted Advisor,AWS CloudTrail,AWS X-Ray,,,AWS 계정에서 보안 그룹이 변경되었으며 계정 관리자가 이를 변경한 사용자의 세부 정보를 확인하도록 요청했습니다. 클라우드 실무자로서 필요한 정보를 가져오기 위해 어떤 AWS 서비스를 사용하시겠습니까?,아마존 인스펙터,AWS 신뢰할 수 있는 조언자,AWS CloudTrail,AWS 엑스레이,,0,,
udemy,CLF-01,330,Which of the following statements are correct regarding the AWS Support Plans? (Select two),CE,CE,Infrastructure Event Management is included for free for AWS Business Support and AWS Enterprise Support plans and can be extended to AWS Developer Support plan for an additional fee,AWS Concierge service is available for the AWS Business Support and AWS Enterprise Support plans,A designated Technical Account Manager is available only for AWS Enterprise Support plan,"Contextual guidance based on customer use-case, is available only for the AWS Enterprise support plan",Both Basic and AWS Developer Support plans have access to the core Trusted Advisor checks only,,다음 중 AWS 지원 계획에 대한 설명이 올바른 것은 무엇입니까? (2개 선택),Infrastructure Event Management는 AWS Business Support 및 AWS Enterprise Support 플랜에 무료로 포함되며 추가 비용을 지불하면 AWS Developer Support 플랜으로 확장할 수 있습니다.,AWS Concierge 서비스는 AWS Business Support 및 AWS Enterprise Support 플랜에서 사용할 수 있습니다.,지정된 기술 계정 관리자는 AWS Enterprise Support 플랜에서만 사용할 수 있습니다.,고객 사용 사례를 기반으로 한 상황별 지침은 AWS 엔터프라이즈 지원 플랜에만 제공됩니다.,Basic 및 AWS Developer Support 플랜 모두 핵심 Trusted Advisor 검사에만 액세스할 수 있습니다.,0,,
udemy,CLF-01,331,"A blogging company is looking at an easy to use solution to host WordPress blogs. The company needs a cost-effective, readily available solution without the need to manage the configurations for servers or the databases.Which AWS service will help you achieve this functionality?",D,D,AWS Fargate,Amazon Elastic Compute Cloud (EC2) with Amazon S3 for storage,Host the application directly on Amazon S3,Amazon Lightsail,,,블로깅 회사는 WordPress 블로그를 호스팅하기 위해 사용하기 쉬운 솔루션을 찾고 있습니다. 이 회사는 서버나 데이터베이스 구성을 관리할 필요 없이 비용 효율적이고 쉽게 사용할 수 있는 솔루션이 필요합니다.이 기능을 달성하는 데 도움이 되는 AWS 서비스는 무엇입니까?,AWS 파게이트,스토리지용 Amazon S3를 사용하는 Amazon Elastic Compute Cloud(EC2),Amazon S3에서 직접 애플리케이션 호스팅,아마존 라이트세일,,0,,
udemy,CLF-01,332,"A company wants to establish a private, dedicated connection between AWS and its on-premises data center. Which AWS service is the right choice for this requirement?",B,B,Amazon API Gateway,AWS Direct Connect,Amazon CloudFront,AWS Site-to-Site VPN,,,한 회사에서 AWS와 온프레미스 데이터 센터 간에 프라이빗 전용 연결을 설정하려고 합니다. 이 요구 사항에 적합한 AWS 서비스는 무엇입니까?,아마존 API 게이트웨이,AWS 다이렉트 커넥트,아마존 클라우드프론트,AWS 사이트 간 VPN,,0,,
udemy,CLF-01,333,Which of the following statements are true about AWS Regions and Availability Zones (AZ)? (Select two),BD,BD,AWS calls each group of logical data centers as AWS Regions,All traffic between Availability Zones (AZ) is encrypted,An Availability Zone (AZ) is a physical location where AWS clusters the data centers,"Each AWS Region consists of multiple, isolated, and physically separate Availability Zones (AZ) within a geographic area","Traffic between Availability Zones (AZ) is not encrypted by default, but can be configured from AWS console",,다음 중 AWS 리전 및 가용 영역(AZ)에 대한 설명으로 옳은 것은 무엇입니까? (2개 선택),AWS는 논리적 데이터 센터의 각 그룹을 AWS 리전이라고 부릅니다.,가용성 영역(AZ) 간의 모든 트래픽은 암호화됩니다.,가용 영역(AZ)은 AWS가 데이터 센터를 클러스터링하는 물리적 위치입니다.,각 AWS 리전은 지리적 영역 내에서 여러 개의 격리되고 물리적으로 분리된 가용 영역(AZ)으로 구성됩니다.,가용 영역(AZ) 간의 트래픽은 기본적으로 암호화되지 않지만 AWS 콘솔에서 구성할 수 있습니다.,0,,
udemy,CLF-01,334,"A financial consulting company is looking for automated reference deployments, that will speed up the process of deploying its financial solutions on AWS Cloud. The reference deployment should be able to deploy most of the well-known functions of financial services and leave space for customizations, if necessary.Which AWS service will help achieve this requirement?",B,B,Amazon Quicksight,AWS Partner Solutions(formerly Quick Starts),AWS Elastic Beanstalk,AWS CloudFormation,,,금융 컨설팅 회사는 AWS 클라우드에서 금융 솔루션을 배포하는 프로세스를 가속화할 자동화된 참조 배포를 찾고 있습니다. 참조 배포는 대부분의 잘 알려진 금융 서비스 기능을 배포할 수 있어야 하며 필요한 경우 사용자 지정을 위한 공간을 남겨 둘 수 있어야 합니다.이 요구 사항을 달성하는 데 도움이 되는 AWS 서비스는 무엇입니까?,아마존 퀵사이트,AWS 파트너 솔루션(이전의 Quick Starts),AWS Elastic Beanstalk,AWS 클라우드포메이션,,0,,
udemy,CLF-01,335,Which of the following use-cases can be solved using the Amazon Forecast service?,C,C,Document search service that can extract answers from text within documents,To develop and test fully functional machine learning models,Predict the web traffic of a website for the next few weeks,To recommend personalized products for users based on their previous purchases,,,다음 중 Amazon Forecast 서비스를 사용하여 해결할 수 있는 사용 사례는 무엇입니까?,문서 내 텍스트에서 답변을 추출할 수 있는 문서 검색 서비스,완전한 기능을 갖춘 기계 학습 모델을 개발하고 테스트하기 위해,다음 몇 주 동안 웹 사이트의 웹 트래픽 예측,이전 구매를 기반으로 사용자에게 개인화된 제품을 추천하기 위해,,0,,
udemy,CLF-01,336,Which of the following services/tools offers a user-friendly graphical user interface to manage AWS Snowball devices without a need for command-line interface or REST APIs?,C,C,AWS OpsWorks,AWS Transfer Family,AWS OpsHub,AppStream 2.0,,,다음 중 명령줄 인터페이스나 REST API 없이도 AWS Snowball 디바이스를 관리할 수 있는 사용자 친화적인 그래픽 사용자 인터페이스를 제공하는 서비스/도구는 무엇입니까?,AWS 옵스웍스,AWS 전송 제품군,AWS OpsHub,앱스트림 2.0,,0,,
udemy,CLF-01,337,An e-learning company wants to build a knowledge graph by leveraging a fully managed database. Which of the following is the best fit for this requirement?,B,B,Amazon DocumentDB,Amazon Neptune,Amazon Relational Database Service (Amazon RDS),Amazon DynamoDB,,,e-러닝 회사는 완전히 관리되는 데이터베이스를 활용하여 지식 그래프를 구축하려고 합니다. 다음 중 이 요구 사항에 가장 적합한 것은 무엇입니까?,아마존 문서DB,아마존 해왕성,Amazon 관계형 데이터베이스 서비스(Amazon RDS),아마존 다이나모DB,,0,,
udemy,CLF-01,338,A team lead is reviewing the AWS services that can be used in the development workflow for his company. Which of the following statements are correct regarding the capabilities of these AWS services? (Select three),ACE,ACE,"Each AWS CodeStar project includes development tools, including AWS CodePipeline, AWS CodeCommit, AWS CodeBuild, and AWS CodeDeploy, that can be used on their own and with existing AWS applications",AWS CodeBuild is directly integrated with both AWS CodePipeline and AWS CodeCommit,AWS CodePipeline uses Amazon CloudWatch Events to detect changes in CodeCommit repositories used as a source for a pipeline,AWS CodeCommit allows you to run builds and tests as part of your AWS CodePipeline,"You can use AWS CodeStar and AWS Cloud9 to develop, build, and deploy a serverless web application","AWS CodeStar is a cloud-based integrated development environment that lets you write, run, and debug your code with just a browser",팀장이 회사의 개발 워크플로에서 사용할 수 있는 AWS 서비스를 검토하고 있습니다. 이러한 AWS 서비스의 기능에 대한 다음 설명 중 올바른 것은 무엇입니까? (3개 선택),"각 AWS CodeStar 프로젝트에는 자체적으로 또는 기존 AWS 애플리케이션과 함께 사용할 수 있는 AWS CodePipeline, AWS CodeCommit, AWS CodeBuild 및 AWS CodeDeploy를 비롯한 개발 도구가 포함되어 있습니다.",AWS CodeBuild는 AWS CodePipeline 및 AWS CodeCommit 모두와 직접 통합됩니다.,AWS CodePipeline은 Amazon CloudWatch Events를 사용하여 파이프라인의 소스로 사용되는 CodeCommit 리포지토리의 변경 사항을 감지합니다.,AWS CodeCommit을 사용하면 AWS CodePipeline의 일부로 빌드 및 테스트를 실행할 수 있습니다.,"AWS CodeStar 및 AWS Cloud9을 사용하여 서버리스 웹 애플리케이션을 개발, 구축 및 배포할 수 있습니다.",0,,"AWS CodeStar는 브라우저만으로 코드를 작성, 실행 및 디버그할 수 있는 클라우드 기반 통합 개발 환경입니다."
udemy,CLF-01,339,Which AWS service allows you to connect any number of IoT devices to the cloud without requiring you to provision or manage servers?,D,D,Amazon Connect,AWS IoT Gateway,AWS Control Tower,AWS IoT Core,,,서버를 프로비저닝하거나 관리할 필요 없이 클라우드에 IoT 장치를 원하는 수만큼 연결할 수 있는 AWS 서비스는 무엇입니까?,아마존 커넥트,AWS IoT 게이트웨이,AWS 컨트롤 타워,AWS IoT 코어,,0,,
udemy,CLF-01,340,Which of the following are NoSQL database services from AWS? (Select two),BE,BE,Amazon Aurora,Amazon DocumentDB,Amazon Relational Database Service (Amazon RDS),AWS Storage Gateway,Amazon Neptune,,다음 중 AWS의 NoSQL 데이터베이스 서비스는 무엇입니까? (2개 선택),Amazon Aurora,아마존 문서DB,Amazon 관계형 데이터베이스 서비스(Amazon RDS),AWS 스토리지 게이트웨이,아마존 해왕성,0,,
udemy,CLF-01,341,"By default, which of the following events are logged by AWS CloudTrail?",C,C,Data events,Data events and Insights events,Management events,AWS CloudTrail Insights events,,,기본적으로 다음 중 AWS CloudTrail에서 기록되는 이벤트는 무엇입니까?,데이터 이벤트,데이터 이벤트 및 인사이트 이벤트,관리 이벤트,AWS CloudTrail Insights 이벤트,,0,,
udemy,CLF-01,342,An online retail clothing store is looking for a service/tool to easily create and embed 3D scenes into their existing web pages to enhance user experience and improve sales. Which AWS service will help create these 3D visuals?,A,A,Amazon Sumerian,Amazon SageMaker,Amazon Comprehend,Amazon Polly,,,온라인 소매 의류 매장은 3D 장면을 쉽게 생성하고 기존 웹 페이지에 포함하여 사용자 경험을 향상하고 판매를 개선할 수 있는 서비스/도구를 찾고 있습니다. 이러한 3D 시각적 개체를 생성하는 데 도움이 되는 AWS 서비스는 무엇입니까?,아마존 수메르어,아마존 세이지메이커,아마존 컴프리헨드,아마존 폴리,,0,,
udemy,CLF-01,343,An e-commerce company has its on-premises data storage on an NFS file system that is accessed in parallel by multiple applications. The company is looking at moving the applications and data stores to AWS Cloud.Which storage service should the company use to move their files to AWS Cloud seamlessly if the application is hosted on Amazon Elastic Compute Cloud (Amazon EC2) instances?,D,D,Amazon Elastic Block Store (Amazon EBS),Amazon Simple Storage Service (Amazon S3),AWS Storage Gateway,Amazon Elastic File System (Amazon EFS),,,전자 상거래 회사는 여러 애플리케이션에서 병렬로 액세스하는 NFS 파일 시스템에 온프레미스 데이터 저장소를 가지고 있습니다. 이 회사는 애플리케이션과 데이터 저장소를 AWS 클라우드로 이전하는 방법을 모색하고 있습니다.애플리케이션이 Amazon Elastic Compute Cloud(Amazon EC2) 인스턴스에서 호스팅되는 경우 회사에서 파일을 AWS 클라우드로 원활하게 이동하려면 어떤 스토리지 서비스를 사용해야 합니까?,Amazon Elastic Block Store(Amazon EBS),Amazon Simple Storage Service(Amazon S3),AWS 스토리지 게이트웨이,Amazon 탄력적 파일 시스템(Amazon EFS),,0,,
udemy,CLF-01,344,Which tool/service will help you get a forecast of your spending for the next 12 months?,B,B,AWS Marketplace,AWS Cost Explorer,AWS Pricing Calculator,Consolidated Billing of AWS Organizations,,,다음 12개월 동안의 지출 예측에 도움이 되는 도구/서비스는 무엇입니까?,AWS 마켓플레이스,AWS 비용 탐색기,AWS 요금 계산기,AWS Organizations 통합 결제,,0,,
udemy,CLF-01,345,A media company uses Amazon Simple Storage Service (Amazon S3) for storing all its data. Which storage class should it consider for cost-optimal storage of the data that has random access patterns?,D,D,Amazon S3 Standard (S3 Standard),Amazon S3 Random Access (S3 Random-Access),Amazon S3 Standard-Infrequent Access (S3 Standard-IA),Amazon S3 Intelligent-Tiering (S3 Intelligent-Tiering),,,미디어 회사는 모든 데이터를 저장하기 위해 Amazon Simple Storage Service(Amazon S3)를 사용합니다. 임의 액세스 패턴이 있는 데이터의 비용 ​​최적화 스토리지를 위해 어떤 스토리지 클래스를 고려해야 합니까?,아마존 S3 스탠다드(S3 스탠다드),Amazon S3 임의 액세스(S3 임의 액세스),Amazon S3 Standard-Infrequent Access(S3 Standard-IA),Amazon S3 지능형 계층화(S3 지능형 계층화),,0,,
udemy,CLF-01,346,Which of the following statements are correct regarding the health monitoring and reporting capabilities supported by AWS Elastic Beanstalk? (Select two),BD,BD,The basic health reporting system that provides information about the health of instances in an AWS Elastic Beanstalk environment does not use health checks performed by Elastic Load Balancing (ELB),"With basic health reporting, the AWS Elastic Beanstalk service does not publish any metrics to Amazon CloudWatch","AWS Elastic Beanstalk provides only basic health reporting system; Combined with Elastic Load Balancing (ELB), they provide advanced health check features",The AWS Elastic Beanstalk health monitoring can determine that the environment's Auto Scaling group is available and has a minimum of at least one instance,"In a single instance environment, AWS Elastic Beanstalk determines the instance's health by monitoring the Elastic Load Balancing (ELB) health settings",,다음 중 AWS Elastic Beanstalk에서 지원하는 상태 모니터링 및 보고 기능에 대한 설명이 올바른 것은 무엇입니까? (2개 선택),AWS Elastic Beanstalk 환경에서 인스턴스의 상태에 대한 정보를 제공하는 기본 상태 보고 시스템은 Elastic Load Balancing(ELB)에서 수행하는 상태 확인을 사용하지 않습니다.,기본 상태 보고를 통해 AWS Elastic Beanstalk 서비스는 Amazon CloudWatch에 지표를 게시하지 않습니다.,AWS Elastic Beanstalk는 기본 상태 보고 시스템만 제공합니다. ELB(Elastic Load Balancing)와 결합하여 고급 상태 확인 기능을 제공합니다.,AWS Elastic Beanstalk 상태 모니터링은 환경의 Auto Scaling 그룹이 사용 가능하고 최소 하나 이상의 인스턴스가 있는지 확인할 수 있습니다.,단일 인스턴스 환경에서 AWS Elastic Beanstalk는 Elastic Load Balancing(ELB) 상태 설정을 모니터링하여 인스턴스의 상태를 결정합니다.,0,,
udemy,CLF-01,347,"A weather-tracking application is built using Amazon DynamoDB. The performance of the application has been consistently good. But lately, the team has realized that during holidays and travel seasons, the load on the application is high and the read requests consume most of the database resources, thereby drastically increasing the overall application latency.Which feature/service will help resolve this issue?",C,C,Amazon CloudFront,Amazon ElastiCache,Amazon DynamoDB Accelerator,Amazon DynamoDB Regulator,,,날씨 추적 애플리케이션은 Amazon DynamoDB를 사용하여 구축됩니다. 응용 프로그램의 성능은 지속적으로 양호했습니다. 그러나 최근 팀은 휴가 및 여행 시즌 동안 애플리케이션에 대한 부하가 높고 읽기 요청이 대부분의 데이터베이스 리소스를 소비하여 전체 애플리케이션 대기 시간이 크게 증가한다는 사실을 깨달았습니다.이 문제를 해결하는 데 도움이 되는 기능/서비스는 무엇입니까?,아마존 클라우드프론트,아마존 엘라스티캐시,Amazon DynamoDB 가속기,Amazon DynamoDB 조정기,,0,,
udemy,CLF-01,348,Which of the following is the least effort way to encrypt data for AWS services only in your AWS account using AWS Key Management Service (KMS)?,B,B,Create your own customer managed keys (CMKs) in AWS KMS,Use AWS managed master keys that are automatically created in your account for each service,Use AWS KMS APIs to encrypt data within your own application by using the AWS Encryption SDK,Use AWS owned CMK in the service you wish to use encryption,,,다음 중 AWS Key Management Service(KMS)를 사용하여 AWS 계정에서만 AWS 서비스용 데이터를 암호화하는 가장 쉬운 방법은 무엇입니까?,AWS KMS에서 자체 고객 관리형 키(CMK) 생성,각 서비스에 대해 계정에 자동으로 생성되는 AWS 관리형 마스터 키 사용,AWS KMS API를 사용하여 AWS 암호화 SDK를 사용하여 자체 애플리케이션 내의 데이터를 암호화합니다.,암호화를 사용하려는 서비스에서 AWS 소유 CMK 사용,,0,,
udemy,CLF-01,349,"A company has defined a baseline that mentions the number of AWS resources to be used for different stages of application testing. However, the company realized that employees are not adhering to the guidelines and provisioning additional resources via API calls, resulting in higher testing costs.Which AWS service will help the company raise alarms whenever the baseline resource numbers are crossed?",D,D,AWS Config,Amazon Detective,AWS X-Ray,AWS CloudTrail Insights,,,한 회사에서 다양한 애플리케이션 테스트 단계에 사용할 AWS 리소스의 수를 언급하는 기준을 정의했습니다. 그러나 회사는 직원들이 지침을 준수하지 않고 API 호출을 통해 추가 리소스를 프로비저닝하지 않아 테스트 비용이 증가한다는 사실을 깨달았습니다.기준 리소스 수를 초과할 때마다 회사에서 경보를 울리는 데 도움이 되는 AWS 서비스는 무엇입니까?,AWS 구성,아마존 탐정,AWS 엑스레이,AWS CloudTrail 인사이트,,0,,
